state,seat_number,incumbent,house_incumbent_party,biden_2020,trump_2020,total_2020
Alaska,1,Mary Peltola,DEM,153778,189951,357569
Alabama,1,Jerry Carl,REP,115566,208116,327039
Alabama,2,Barry Moore,REP,111264,205435,319817
Alabama,3,Mike Rogers,REP,102772,210797,316695
Alabama,4,Robert Aderholt,REP,60733,262359,326261
Alabama,5,Dale Strong,REP,123032,216584,345255
Alabama,6,Gary Palmer,REP,122189,228267,354698
Alabama,7,Terri Sewell,DEM,214068,109612,326206
Arkansas,1,Rick Crawford,REP,80516,197832,286792
Arkansas,2,French Hill,REP,140254,183964,333041
Arkansas,3,Steve Womack,REP,110479,180794,300274
Arkansas,4,Bruce Westerman,REP,92683,198057,298962
Arizona,1,David Schweikert,REP,231887,225013,462784
Arizona,2,Eli Crane,REP,183714,215659,405633
Arizona,3,Ruben Gallego,DEM,170840,54754,229285
Arizona,4,Greg Stanton,DEM,201238,162975,371497
Arizona,5,Andy Biggs,REP,171278,239646,417419
Arizona,6,Juan Ciscomani,REP,214896,214580,436079
Arizona,7,Raúl Grijalva,DEM,194860,97580,296840
Arizona,8,Debbie Lesko,REP,171266,225761,402630
Arizona,9,Paul Gosar,REP,132165,225719,363126
California,1,Doug LaMalfa,REP,136550,203077,348189
California,2,Jared Huffman,DEM,310592,101570,422441
California,3,Kevin Kiley,REP,211790,219762,442451
California,4,Mike Thompson,DEM,250308,113844,373278
California,5,Tom McClintock,REP,171424,220770,401076
California,6,Ami Bera,DEM,192873,131468,333336
California,7,Doris Matsui,DEM,228897,102737,339420
California,8,John Garamendi,DEM,244070,70550,321343
California,9,Josh Harder,DEM,157640,121642,285397
California,10,Mark DeSaulnier,DEM,280973,119815,409383
California,11,Nancy Pelosi,DEM,339795,46210,393814
California,12,Barbara Lee,DEM,328830,31734,368206
California,13,John Duarte,REP,125261,100222,230706
California,14,Eric Swalwell,DEM,239561,87626,334248
California,15,Kevin Mullin,DEM,272883,71552,351079
California,16,Anna Eshoo,DEM,288193,85593,382082
California,17,Ro Khanna,DEM,219542,76381,301898
California,18,Zoe Lofgren,DEM,190117,72029,267951
California,19,Jimmy Panetta,DEM,283245,119900,412573
California,20,Kevin McCarthy,REP,127496,214492,349862
California,21,Jim Costa,DEM,133827,87856,226362
California,22,David Valadao,REP,103963,79681,188155
California,23,Jay Obernolte,REP,130953,160218,298346
California,24,Salud Carbajal,DEM,240344,130117,379418
California,25,Raul Ruiz,DEM,150324,109749,265268
California,26,Julia Brownley,DEM,222994,147422,378303
California,27,Mike Garcia,REP,188108,145890,341467
California,28,Judy Chu,DEM,242549,117111,366847
California,29,Tony Cárdenas,DEM,204924,63885,274903
California,30,Adam Schiff,DEM,273895,98576,379374
California,31,Grace Napolitano,DEM,198028,102679,307073
California,32,Brad Sherman,DEM,271209,112044,390332
California,33,Pete Aguilar,DEM,168266,99017,273478
California,34,Jimmy Gomez,DEM,205043,42309,253290
California,35,Norma Torres,DEM,173588,97138,276741
California,36,Ted Lieu,DEM,299046,113323,421108
California,37,Sydney Kamlager-Dove,DEM,239814,34760,279846
California,38,Linda Sánchez,DEM,217122,114836,338870
California,39,Mark Takano,DEM,165291,95616,266730
California,40,Young Kim,REP,212169,204203,424992
California,41,Ken Calvert,REP,178995,182973,368474
