state,seat_number,incumbent,house_incumbent_party,biden_2020,trump_2020,total_2020
California,42,Robert Garcia,DEM,207750,74998,289669
California,43,Maxine Waters,DEM,218764,46043,270782
California,44,Nanette Barragán,DEM,213507,72413,292791
California,45,Michelle Steel,REP,186196,164111,357137
California,46,Lou Correa,DEM,162579,85483,253538
California,47,Katie Porter,DEM,212948,169641,390918
California,48,Darrell Issa,REP,167285,215540,391616
California,49,Mike Levin,DEM,221230,174975,405298
California,50,Scott Peters,DEM,262795,129606,401947
California,51,Sara Jacobs,DEM,231182,130132,370060
California,52,Juan Vargas,DEM,205523,93111,304934
Colorado,1,Diana DeGette,DEM,315904,72379,397310
Colorado,2,Joe Neguse,DEM,306400,128491,446260
Colorado,3,Lauren Boebert,REP,184181,218187,412128
Colorado,4,Ken Buck,REP,174553,256585,442183
Colorado,5,Doug Lamborn,REP,160880,198614,373408
Colorado,6,Jason Crow,DEM,232517,141195,383771
Colorado,7,Brittany Pettersen,DEM,256166,190987,459940
Colorado,8,Yadira Caraveo,DEM,173751,158170,341951
Connecticut,1,John Larson,DEM,227830,126759,359895
Connecticut,2,Joe Courtney,DEM,214158,169366,391348
Connecticut,3,Rosa DeLauro,DEM,213122,142174,359820
Connecticut,4,Jim Himes,DEM,230411,120230,355456
Connecticut,5,Jahana Hayes,DEM,195160,156762,357217
Delaware,1,Lisa Blunt Rochester,DEM,296268,200603,504010
Florida,1,Matt Gaetz,REP,139194,275547,421983
Florida,2,Neal Dunn,REP,180607,225757,410746
Florida,3,Kat Cammack,REP,166687,222032,392680
Florida,4,Aaron Bean,REP,184152,210911,400004
Florida,5,John Rutherford,REP,176903,244278,426534
Florida,6,Mike Waltz,REP,160980,262018,426794
Florida,7,Cory Mills,REP,202049,226044,432716
Florida,8,Bill Posey,REP,186758,267849,459670
Florida,9,Darren Soto,DEM,198451,139043,340752
Florida,10,Maxwell Frost,DEM,218958,112414,335201
Florida,11,Daniel Webster,REP,188273,234657,426492
Florida,12,Gus Bilirakis,REP,150490,273483,428151
Florida,13,Anna Paulina Luna,REP,207951,238399,450980
Florida,14,Kathy Castor,DEM,231590,156409,392644
Florida,15,Laurel Lee,REP,176040,187647,367849
Florida,16,Vern Buchanan,REP,184319,220728,409050
Florida,17,Greg Steube,REP,187427,259237,450114
Florida,18,Scott Franklin,REP,133424,213235,349949
Florida,19,Byron Donalds,REP,169589,260674,433251
Florida,20,Sheila Cherfilus-McCormick,DEM,252405,78222,332578
Florida,21,Brian Mast,REP,199069,240849,442839
Florida,22,Lois Frankel,DEM,229942,160705,393104
Florida,23,Jared Moskowitz,DEM,232548,177952,412845
Florida,24,Frederica Wilson,DEM,245449,83302,330498
Florida,25,Debbie Wasserman Schultz,DEM,229439,152844,384550
Florida,26,Mario Diaz-Balart,REP,126831,184088,312563
Florida,27,María Elvira Salazar,REP,178067,179207,359223
Florida,28,Carlos Giménez,REP,159454,181199,342665
Georgia,1,Buddy Carter,REP,144314,189725,338574
Georgia,2,Sanford Bishop,DEM,173621,140787,317280
Georgia,3,Drew Ferguson,REP,132438,248375,385533
Georgia,4,Hank Johnson,DEM,278793,73295,355992
Georgia,5,Nikema Williams,DEM,305738,59840,369993
Georgia,6,Rich McCormick,REP,174012,236094,416666
Georgia,7,Lucy McBath,DEM,203070,118944,326147
Georgia,8,Austin Scott,REP,117889,209159,330441
Georgia,9,Andrew Clyde,REP,112848,253355,370973
Georgia,10,Mike Collins,REP,142395,230837,378086
Georgia,11,Barry Loudermilk,REP,158591,217159,382041
Georgia,12,Rick Allen,REP,151146,185743,340948
Georgia,13,David Scott,DEM,274153,66470,344049
Georgia,14,Marjorie Taylor Greene,REP,104624,232070,340992
Hawaii,1,Ed Case,DEM,178660,96350,279670
Hawaii,2,Jill Tokuda,DEM,187470,100514,294799
Iowa,1,Mariannette Miller-Meeks,REP,203400,215742,426927
Iowa,2,Ashley Hinson,REP,203246,222312,433378
Iowa,3,Zach Nunn,REP,205591,207043,420101
Iowa,4,Randy Feenstra,REP,146824,252575,406128
Idaho,1,Russ Fulcher,REP,132085,302868,447457
Idaho,2,Mike Simpson,REP,154936,251251,419904
Illinois,1,Jonathan Jackson,DEM,260631,103984,369753
Illinois,2,Robin Kelly,DEM,231924,98000,334668
Illinois,3,Delia Ramirez,DEM,207342,84147,297395
Illinois,4,Chuy Garcia,DEM,175301,62731,242543
Illinois,5,Mike Quigley,DEM,275679,117237,400256
Illinois,6,Sean Casten,DEM,216368,173185,396914
Illinois,7,Danny Davis,DEM,274896,41082,321060
Illinois,8,Raja Krishnamoorthi,DEM,189430,138017,333628
Illinois,9,Jan Schakowsky,DEM,267524,108596,382482
Illinois,10,Brad Schneider,DEM,220357,128416,355522
Illinois,11,Bill Foster,DEM,215328,157129,380478
Illinois,12,Mike Bost,REP,106204,270198,383257
Illinois,13,Nikki Budzinski,DEM,195393,155142,358904
Illinois,14,Lauren Underwood,DEM,191028,151016,348998
Illinois,15,Mary Miller,REP,117057,270236,395434
Illinois,16,Darin LaHood,REP,152633,238789,400519
Illinois,17,Eric Sorensen,DEM,174821,148985,331627
Indiana,1,Frank Mrvan,DEM,181832,153364,340700
Indiana,2,Rudy Yakym,REP,117687,187968,311424
Indiana,3,Jim Banks,REP,111650,209890,328584
Indiana,4,Jim Baird,REP,118417,219029,345309
Indiana,5,Victoria Spartz,REP,151397,210212,369022
Indiana,6,Greg Pence,REP,109391,215307,331748
Indiana,7,André Carson,DEM,213498,84813,303734
Indiana,8,Larry Bucshon,REP,112346,225275,343948
Indiana,9,Erin Houchin,REP,126197,223661,356696
Kansas,1,Tracey Mann,REP,110422,206364,323819
Kansas,2,Jake LaTurner,REP,130954,183352,321754
Kansas,3,Sharice Davids,DEM,205621,187731,401921
Kansas,4,Ron Estes,REP,123326,193958,324810
Kentucky,1,James Comer,REP,98100,248460,351824
Kentucky,2,Brett Guthrie,REP,108502,237998,352498
Kentucky,3,Morgan McGarvey,DEM,220429,138649,365965
Kentucky,4,Thomas Massie,REP,122980,244777,374537
Kentucky,5,Hal Rogers,REP,64435,258817,327397
Kentucky,6,Andy Barr,REP,158028,197944,363215
Louisiana,1,Steve Scalise,REP,111741,258790,377529
Louisiana,2,Troy Carter,DEM,260653,79318,345722
Louisiana,3,Clay Higgins,REP,106759,239366,352216
Louisiana,4,Mike Johnson,REP,130910,215850,352106
Louisiana,5,Julia Letlow,REP,120707,224650,350510
Louisiana,6,Garret Graves,REP,125263,237802,369979
Massachusetts,1,Richard Neal,DEM,235190,150037,393141
Massachusetts,2,Jim McGovern,DEM,254528,132546,395665
Massachusetts,3,Lori Trahan,DEM,233536,131375,372676
Massachusetts,4,Jake Auchincloss,DEM,263669,145121,416487
Massachusetts,5,Katherine Clark,DEM,298842,94405,399703
Massachusetts,6,Seth Moulton,DEM,283226,158963,450070
Massachusetts,7,Ayanna Pressley,DEM,269381,41245,314904
Massachusetts,8,Stephen Lynch,DEM,277534,130407,414844
Massachusetts,9,Bill Keating,DEM,266296,183101,457586
Maryland,1,Andy Harris,REP,171268,230930,410539
Maryland,2,Dutch Ruppersberger,DEM,232384,150927,391029
Maryland,3,John Sarbanes,DEM,255249,149743,413425
Maryland,4,Glenn Ivey,DEM,271589,26247,302947
Maryland,5,Steny Hoyer,DEM,280898,128846,416761
Maryland,6,David Trone,DEM,200375,163848,371676
Maryland,7,Kweisi Mfume,DEM,251751,54327,310936
Maryland,8,Jamie Raskin,DEM,321508,71547,399296
Maine,1,Chellie Pingree,DEM,258001,159932,430096
Maine,2,Jared Golden,DEM,177070,200803,389278
Michigan,1,Jack Bergman,REP,182977,274971,465104
Michigan,2,John Moolenaar,REP,145196,262155,414538
Michigan,3,Hillary Scholten,DEM,222098,186701,416906
Michigan,4,Bill Huizenga,REP,196696,213155,417516
Michigan,5,Tim Walberg,REP,150368,248430,405836
Michigan,6,Debbie Dingell,DEM,286146,164381,456503
Michigan,7,Elissa Slotkin,DEM,219465,217141,444296
Michigan,8,Dan Kildee,DEM,215710,207003,429213
Michigan,9,Lisa McClain,REP,160590,297475,464737
Michigan,10,John James,REP,209969,214177,429829
Michigan,11,Haley Stevens,DEM,273915,182229,462280
Michigan,12,Rashida Tlaib,DEM,285642,97508,387609
Michigan,13,Shri Thanedar,DEM,252697,83907,340610
Minnesota,1,Brad Finstad,REP,172285,208058,388718
Minnesota,2,Angie Craig,DEM,221003,190819,420650
Minnesota,3,Dean Phillips,DEM,258543,167402,434448
Minnesota,4,Betty McCollum,DEM,268967,119722,396499
Minnesota,5,Ilhan Omar,DEM,319407,69135,396493
Minnesota,6,Tom Emmer,REP,165862,238872,413782
Minnesota,7,Michelle Fischbach,REP,128550,260007,395801
Minnesota,8,Pete Stauber,REP,182461,230050,420814
Missouri,1,Cori Bush,DEM,278269,71037,355000
Missouri,2,Ann Wagner,REP,198823,232845,438960
Missouri,3,Blaine Luetkemeyer,REP,142584,247108,397210
Missouri,4,Mark Alford,REP,109920,257315,374598
Missouri,5,Emanuel Cleaver,DEM,217895,125686,350584
Missouri,6,Sam Graves,REP,115548,255727,377863
Missouri,7,Eric Burlison,REP,103423,254241,364374
Missouri,8,Jason Smith,REP,86552,274779,366570
Mississippi,1,Trent Kelly,REP,111535,217291,333728
Mississippi,2,Bennie Thompson,DEM,208159,121206,333247
Mississippi,3,Michael Guest,REP,128386,212321,345011
Mississippi,4,Mike Ezell,REP,91318,205946,301772
Montana,1,Ryan Zinke,REP,143417,165189,316603
Montana,2,Matt Rosendale,REP,101369,178413,287037
North Carolina,1,Don Davis,DEM,208362,179762,391721
North Carolina,2,Deborah Ross,DEM,264326,144747,415588
North Carolina,3,Greg Murphy,REP,134418,227413,366703
North Carolina,4,Valerie Foushee,DEM,270350,128689,403834
North Carolina,5,Virginia Foxx,REP,156406,242318,403376
North Carolina,6,Kathy Manning,DEM,217771,169196,391460
North Carolina,7,David Rouzer,REP,175561,227500,407784
North Carolina,8,Dan Bishop,REP,127233,261100,392695
North Carolina,9,Richard Hudson,REP,161394,189812,355924
North Carolina,10,Patrick McHenry,REP,117768,274564,396532
North Carolina,11,Chuck Edwards,REP,192266,236408,434463
North Carolina,12,Alma Adams,DEM,235499,125190,365540
North Carolina,13,Wiley Nickel,DEM,198303,191581,395781
North Carolina,14,Jeff Jackson,DEM,224581,160492,390605
North Dakota,1,Kelly Armstrong,REP,114902,235595,359890
Nebraska,1,Mike Flood,REP,136956,171957,316440
Nebraska,2,Don Bacon,REP,163239,143429,312940
Nebraska,3,Adrian Smith,REP,74388,241459,322332
New Hampshire,1,Chris Pappas,DEM,210310,186410,403198
New Hampshire,2,Annie Kuster,DEM,214627,179250,400635
New Jersey,1,Donald Norcross,DEM,247693,149375,402495
New Jersey,2,Jeff Van Drew,REP,192481,212664,410535
New Jersey,3,Andy Kim,DEM,248284,186603,440666
New Jersey,4,Chris Smith,REP,163106,259059,427724
New Jersey,5,Josh Gottheimer,DEM,240209,186611,432269
New Jersey,6,Frank Pallone,DEM,197825,133268,335439
New Jersey,7,Tom Kean Jr.,REP,235951,218151,461600
New Jersey,8,Rob Menendez,DEM,173894,64633,241039
New Jersey,9,Bill Pascrell,DEM,185603,126054,315019
New Jersey,10,Donald Payne,DEM,234076,53928,290354
New Jersey,11,Mikie Sherrill,DEM,252859,178835,437161
New Jersey,12,Bonnie Watson Coleman,DEM,236355,114094,355052
New Mexico,1,Melanie Stansbury,DEM,201158,149225,359557
New Mexico,2,Gabe Vasquez,DEM,137449,121889,264675
New Mexico,3,Teresa Leger Fernandez,DEM,163007,130780,299733
Nevada,1,Dina Titus,DEM,172621,144973,324286
Nevada,2,Mark Amodei,REP,173063,217348,401970
Nevada,3,Susie Lee,DEM,190167,166069,363064
Nevada,4,Steven Horsford,DEM,167635,141501,316056
New York,1,Nick LaLota,REP,212149,211235,428545
New York,2,Andrew Garbarino,REP,175559,180971,360808
New York,3,George Santos,REP,213371,180840,398089
New York,4,Anthony D'Esposito,REP,223911,166541,394490
New York,5,Gregory Meeks,DEM,216606,49624,267734
New York,6,Grace Meng,DEM,155614,82742,240384
New York,7,Nydia Velázquez,DEM,207220,46703,256319
New York,8,Hakeem Jeffries,DEM,195053,59000,255728
New York,9,Yvette Clarke,DEM,202874,64228,268938
New York,10,Dan Goldman,DEM,244521,39875,287258
New York,11,Nicole Malliotakis,REP,134699,157207,294599
New York,12,Jerry Nadler,DEM,291127,47209,341717
New York,13,Adriano Espaillat,DEM,242303,30463,274962
New York,14,Alexandria Ocasio-Cortez,DEM,181167,49634,232540
New York,15,Ritchie Torres,DEM,182738,31734,215823
New York,16,Jamaal Bowman,DEM,233157,90387,326671
New York,17,Mike Lawler,REP,210394,171537,386274
New York,18,Pat Ryan,DEM,193329,163061,362004
New York,19,Marc Molinaro,REP,193524,176069,377209
New York,20,Paul Tonko,DEM,225895,151958,385749
New York,21,Elise Stefanik,REP,156072,201174,364399
New York,22,Brandon Williams,REP,195813,168087,371937
New York,23,Nick Langworthy,REP,162324,231453,401627
New York,24,Claudia Tenney,REP,150948,215448,374957
New York,25,Joe Morelle,DEM,228228,151739,388338
New York,26,Brian Higgins,DEM,216297,133086,355672
Ohio,1,Greg Landsman,DEM,220131,185305,411737
Ohio,2,Brad Wenstrup,REP,100787,272326,378189
Ohio,3,Joyce Beatty,DEM,271653,104526,381877
Ohio,4,Jim Jordan,REP,125753,268732,400793
Ohio,5,Bob Latta,REP,142103,248389,396658
Ohio,6,Bill Johnson,REP,139489,254100,399031
Ohio,7,Max Miller,REP,192588,232245,429982
Ohio,8,Warren Davidson,REP,153374,241662,400865
Ohio,9,Marcy Kaptur,DEM,186080,197465,390202
Ohio,10,Mike Turner,REP,185657,199447,391739
Ohio,11,Shontel Brown,DEM,280537,74103,358397
Ohio,12,Troy Balderson,REP,131512,251592,389032
Ohio,13,Emilia Sykes,DEM,205953,194497,406190
Ohio,14,Dave Joyce,REP,172806,234505,412862
Ohio,15,Mike Carey,REP,170743,195940,372828
Oklahoma,1,Kevin Hern,REP,121877,190291,320384
Oklahoma,2,Josh Brecheen,REP,71996,243602,321500
Oklahoma,3,Frank Lucas,REP,72507,194433,273182
Oklahoma,4,Tom Cole,REP,101711,199240,308407
Oklahoma,5,Stephanie Bice,REP,135799,192715,337226
Oregon,1,Suzanne Bonamici,DEM,268141,113977,392100
Oregon,2,Cliff Bentz,REP,139315,232311,380527
Oregon,3,Earl Blumenauer,DEM,280510,97552,386700
Oregon,4,Val Hoyle,DEM,224343,172448,407431
Oregon,5,Lori Chavez-DeRemer,REP,225723,188094,424112
Oregon,6,Andrea Salinas,DEM,202351,154067,366361
Pennsylvania,1,Brian Fitzpatrick,REP,241484,219852,466243
Pennsylvania,2,Brendan Boyle,DEM,221374,88089,311819
Pennsylvania,3,Dwight Evans,DEM,357581,36721,396651
Pennsylvania,4,Madeleine Dean,DEM,269159,182686,456857
Pennsylvania,5,Mary Gay Scanlon,DEM,276153,140480,420263
Pennsylvania,6,Chrissy Houlahan,DEM,235154,174191,414329
Pennsylvania,7,Susan Wild,DEM,197117,194660,396503
Pennsylvania,8,Matt Cartwright,DEM,183189,194267,381336
Pennsylvania,9,Dan Meuser,REP,119969,261281,386871
Pennsylvania,10,Scott Perry,REP,188632,205148,399568
Pennsylvania,11,Lloyd Smucker,REP,153327,237723,397039
Pennsylvania,12,Summer Lee,DEM,255322,169617,429696
Pennsylvania,13,John Joyce,REP,107198,288121,400132
Pennsylvania,14,Guy Reschenthaler,REP,138892,268695,412038
Pennsylvania,15,Glenn Thompson,REP,119459,263001,387754
Pennsylvania,16,Mike Kelly,REP,158730,242664,406695
Pennsylvania,17,Chris Deluzio,DEM,237707,211205,454479
Rhode Island,1,Gabe Amo,DEM,152956,83225,239685
Rhode Island,2,Seth Magaziner,DEM,154530,116697,275313
South Carolina,1,Nancy Mace,REP,171781,204848,383006
South Carolina,2,Joe Wilson,REP,161002,199780,366492
South Carolina,3,Jeff Duncan,REP,106461,236981,348346
South Carolina,4,William Timmons,REP,138171,202545,347082
South Carolina,5,Ralph Norman,REP,147073,213484,365450
South Carolina,6,Jim Clyburn,DEM,219768,111769,336352
South Carolina,7,Russell Fry,REP,147285,215696,366601
South Dakota,1,Dusty Johnson,REP,150471,261043,422609
Tennessee,1,Diana Harshbarger,REP,74136,256544,336324
Tennessee,2,Tim Burchett,REP,122695,226798,356264
Tennessee,3,Chuck Fleischmann,REP,115371,226469,348163
Tennessee,4,Scott DesJarlais,REP,98034,220498,324523
Tennessee,5,Andy Ogles,REP,157606,198784,364675
Tennessee,6,John Rose,REP,120181,221681,348370
Tennessee,7,Mark Green,REP,135634,185342,328513
Tennessee,8,David Kustoff,REP,110189,244389,359751
Tennessee,9,Steve Cohen,DEM,209865,71971,286406
Texas,1,Nathaniel Moran,REP,86340,235935,325932
Texas,2,Dan Crenshaw,REP,121722,194830,321027
Texas,3,Keith Self,REP,152283,204522,362332
Texas,4,Pat Fallon,REP,125331,214733,344380
Texas,5,Lance Gooden,REP,113821,180707,298176
Texas,6,Jake Ellzey,REP,105417,172963,281938
Texas,7,Lizzie Fletcher,DEM,179327,96257,279261
Texas,8,Morgan Luttrell,REP,111737,196658,312347
Texas,9,Al Green,DEM,195428,58355,256506
Texas,10,Michael McCaul,REP,135094,198897,339628
Texas,11,August Pfluger,REP,77977,186084,267919
Texas,12,Kay Granger,REP,130235,189089,324606
Texas,13,Ronny Jackson,REP,79206,215372,299331
Texas,14,Randy Weber,REP,110036,199675,314088
Texas,15,Monica De La Cruz,REP,109177,115722,227089
Texas,16,Veronica Escobar,DEM,163505,76976,244212
Texas,17,Pete Sessions,REP,114751,182847,302045
Texas,18,Sheila Jackson Lee,DEM,177368,60370,240982
Texas,19,Jodey Arrington,REP,73174,202461,279621
Texas,20,Joaquin Castro,DEM,172367,85595,262144
Texas,21,Chip Roy,REP,164213,246263,416581
Texas,22,Troy Nehls,REP,138254,191937,334585
Texas,23,Tony Gonzales,REP,134552,155681,294019
Texas,24,Beth Van Duyne,REP,168124,216345,390681
Texas,25,Roger Williams,REP,112309,215979,332712
Texas,26,Michael Burgess,REP,144823,211963,361989
Texas,27,Michael Cloud,REP,109720,174253,287748
Texas,28,Henry Cuellar,DEM,131726,114184,249012
Texas,29,Sylvia Garcia,DEM,118450,54253,174765
Texas,30,Jasmine Crockett,DEM,217199,58708,279332
Texas,31,John Carter,REP,133165,202406,341869
Texas,32,Colin Allred,DEM,172823,86040,263239
Texas,33,Marc Veasey,DEM,139290,45685,187606
Texas,34,Vicente Gonzalez,DEM,116856,85153,203935
Texas,35,Greg Casar,DEM,187900,69342,262092
Texas,36,Brian Babin,REP,102316,198540,304672
Texas,37,Lloyd Doggett,DEM,289226,86849,383154
Texas,38,Wesley Hunt,REP,143907,208722,357580
Utah,1,Blake Moore,REP,142221,216685,374776
Utah,2,Celeste Maloy,REP,143194,205210,362061
Utah,3,John Curtis,REP,149658,224849,391105
Utah,4,Burgess Owens,REP,125210,218396,359735
Virginia,1,Rob Wittman,REP,215574,244413,466892
Virginia,2,Jen Kiggans,REP,201896,194173,402884
Virginia,3,Bobby Scott,DEM,230576,101134,337411
Virginia,4,Jennifer McClellan,DEM,260886,122375,388140
Virginia,5,Bob Good,REP,194989,230682,431686
Virginia,6,Ben Cline,REP,133543,208274,347395
Virginia,7,Abigail Spanberger,DEM,204951,178472,389585
Virginia,8,Don Beyer,DEM,305118,84142,394439
Virginia,9,Morgan Griffith,REP,114163,282093,401051
Virginia,10,Jennifer Wexton,DEM,238976,164941,410021
Virginia,11,Gerry Connolly,DEM,295688,121172,422707
Vermont,1,Becca Balint,DEM,242820,112704,365486
Washington,1,Suzan DelBene,DEM,250877,130740,392183
Washington,2,Rick Larsen,DEM,263073,162798,437403
Washington,3,Marie Gluesenkamp Perez,DEM,196218,213902,420817
Washington,4,Dan Newhouse,REP,130107,184863,323034
Washington,5,Cathy McMorris Rodgers,REP,180838,222224,415270
Washington,6,Derek Kilmer,DEM,253641,177178,444191
Washington,7,Pramila Jayapal,DEM,395386,51351,455644
Washington,8,Kim Schrier,DEM,226804,197508,435843
Washington,9,Adam Smith,DEM,255762,94177,357484
Washington,10,Marilyn Strickland,DEM,216906,149910,378511
Wisconsin,1,Bryan Steil,REP,190050,197950,393706
Wisconsin,2,Mark Pocan,DEM,310866,125928,442951
Wisconsin,3,Derrick Van Orden,REP,185088,203589,395551
Wisconsin,4,Gwen Moore,DEM,260145,78292,342657
Wisconsin,5,Scott Fitzgerald,REP,175986,282390,464784
Wisconsin,6,Glenn Grothman,REP,171949,237088,415757
Wisconsin,7,Tom Tiffany,REP,165850,250173,422463
Wisconsin,8,Mike Gallagher,REP,170932,234773,412078
West Virginia,1,Carol Miller,REP,112947,273523,392576
West Virginia,2,Alex Mooney,REP,123037,271859,402076
Wyoming,1,Harriet Hageman,REP,73491,193559,275026
