year,candidate,state,candidate_votes,total_votes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Montana,29281,363952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Nebraska,44993,640854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Nevada,17651,247885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,New Hampshire,49693,383999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,New Jersey,234632,2975684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,New Mexico,29459,456237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,New York,467801,6201959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,North Carolina,52800,1855833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,North Dakota,23640,301545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Ohio,254472,4283603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Oklahoma,38284,1149708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Oregon,112389,1181516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Pennsylvania,292921,4561501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Rhode Island,59819,416072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,South Carolina,14150,890083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,South Dakota,21431,327703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Tennessee,35991,1617616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Texas,111613,4541637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Utah,30284,604222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Vermont,31760,213207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Virginia,95418,1866032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Washington,185073,1742394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,West Virginia,31691,737715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Wisconsin,160657,2273221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Wyoming,12072,176713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Alabama,183109,1688060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Alaska,73481,258506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Arizona,353741,1486975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Arkansas,99132,950653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,California,2296006,11131721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Colorado,366010,1569180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Connecticut,348771,1616332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Delaware,59213,289735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,District of Columbia,9681,227572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Florida,1053067,5314392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Georgia,309657,2321125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Hawaii,53003,372842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Idaho,130395,482142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Illinois,840515,5050157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Indiana,455934,2305871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Iowa,253468,1354607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Kansas,312358,1157236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Kentucky,203944,1492900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Louisiana,211478,1790017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Maine,206820,679499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Maine's 1st congressional district,102828,363716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Maine's 2nd congressional district,103992,313028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Maryland,281414,1985046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Massachusetts,630731,2773664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Michigan,824813,4274673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Minnesota,562506,2347947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Mississippi,85626,981793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Missouri,518741,2391565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Montana,107225,410611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Nebraska,174687,739283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Nebraska's 1st congressional district,59974,247751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Nebraska's 2nd congressional district,48657,242613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Nebraska's 3rd congressional district,65473,244282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Nevada,132580,506318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,New Hampshire,121337,537945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,New Jersey,521829,3343594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,New Mexico,91895,569986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,New York,1090721,6926933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,North Carolina,357864,2611850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,North Dakota,71084,308133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Ohio,1036426,4939964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Oklahoma,319878,1390359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Oregon,354091,1462643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Pennsylvania,902667,4959810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Rhode Island,105045,453478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,South Carolina,138872,1202527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,South Dakota,73295,336254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Tennessee,199968,1982638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Texas,1354781,6154018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Utah,203400,743999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Vermont,65991,289701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Virginia,348639,2558665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Washington,541780,2288228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,West Virginia,108829,683677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Wisconsin,544479,2531114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,H. Ross Perot,Wyoming,51263,200587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Alabama,92149,1534349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Alaska,26333,241620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Arizona,112072,1404405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Arkansas,69884,884262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,California,697847,10019484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Colorado,99629,1510704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Connecticut,139523,1392614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Delaware,28719,270845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,District of Columbia,3611,185726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Florida,483870,5303794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Georgia,146337,2299071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Hawaii,27358,360120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Idaho,62518,491719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Illinois,346408,4311391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Indiana,224299,2135842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Iowa,105159,1234075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Kansas,92639,1074300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Kentucky,120396,1388708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Louisiana,123293,1783959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Maine,85970,605897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Maine's 1st congressional district,39845,317121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Maine's 2nd congressional district,46125,288776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Maryland,115812,1780870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Massachusetts,227217,2556786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Michigan,336670,3848844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Minnesota,257704,2192640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Mississippi,52222,893857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Missouri,217188,2158065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Montana,55229,407261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Nebraska,71278,677415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Nebraska's 1st congressional district,25973,230330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Nebraska's 2nd congressional district,18935,222660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Nebraska's 3rd congressional district,26370,224425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Nevada,43986,464279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,New Hampshire,48390,499175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,New Jersey,262134,3075807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,New Mexico,32257,556074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,New York,503458,6316129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,North Carolina,168059,2515807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,North Dakota,32515,266411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Ohio,483207,4534434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Oklahoma,130788,1206713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Oregon,121221,1377760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Pennsylvania,430984,4506118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Rhode Island,43723,390284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,South Carolina,64386,1151689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,South Dakota,31250,323826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Tennessee,105918,1894105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Texas,378537,5611644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Utah,66461,665629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Vermont,31024,258449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Virginia,159861,2416642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Washington,201003,2253837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,West Virginia,71639,636459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Wisconsin,227339,2196169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H. Ross Perot,Wyoming,25928,211571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Alabama,18323,1666272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Alaska,28747,285560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Arizona,45645,1532016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Arkansas,13421,921781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,California,418707,10965856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Colorado,91434,1741368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Connecticut,64452,1459525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Delaware,8307,327622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,District of Columbia,10576,201894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Florida,97488,5963110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Georgia,13432,2596804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Hawaii,21623,367951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Idaho,12292,501621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Illinois,103759,4742123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Indiana,18531,2199302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Iowa,29374,1315563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Kansas,36086,1072218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Kentucky,23192,1544187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Louisiana,20473,1765656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Maine,37127,651817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Maine's 1st congressional district,20297,348951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Maine's 2nd congressional district,16830,302866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Maryland,53768,2025480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Massachusetts,173564,2702984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Michigan,84165,4232501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Minnesota,126696,2438685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Mississippi,8122,994184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Missouri,38515,2359892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Montana,24437,410997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Nebraska,24540,697019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Nebraska's 1st congressional district,10085,242023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Nebraska's 2nd congressional district,8495,231012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Nebraska's 3rd congressional district,5960,223984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Nevada,15008,608970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,New Hampshire,22198,569081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,New Jersey,94554,3187226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,New Mexico,21251,598605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,New York,244030,6821999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,North Carolina,,2911262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,North Dakota,9486,288256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Ohio,117857,4705457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Oklahoma,,1234229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Oregon,77357,1533968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Pennsylvania,103392,4913119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Rhode Island,25052,409112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,South Carolina,20200,1382717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,South Dakota,,316269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Tennessee,19781,2076181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Texas,137994,6407637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Utah,35850,770754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Vermont,20374,294308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Virginia,59398,2739447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Washington,103002,2487433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,West Virginia,10680,648124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Wisconsin,94070,2598607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ralph Nader,Wyoming,4625,218351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Alabama,53858,2123372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Alaska,24460,318608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Arizona,140672,2604657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Arkansas,39422,1130676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,California,757157,14181595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Colorado,182558,2780247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Connecticut,71517,1644920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Delaware,20860,443814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,District of Columbia,9164,311268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Florida,271442,9420039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Georgia,132980,4114732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Hawaii,28691,428937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Idaho,36827,690255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Illinois,286398,5536424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Indiana,141834,2734958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Iowa,70665,1566031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Kansas,78912,1184402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Kentucky,67665,1924149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Louisiana,52009,2029032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Maine,52356,747927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Maine's 1st congressional district,26155,394329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Maine's 2nd congressional district,26195,353416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Maryland,115550,2781446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Massachusetts,185679,3325046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Gary Johnson/Jill Stein,Michigan,223599,4799284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
