year,candidate,state,candidate_votes,total_votes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Alabama,16481,1341929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Alaska,11155,158445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Arizona,76952,873945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Arkansas,22468,837582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,California,739833,8587063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Colorado,130633,1184415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Connecticut,171807,1406285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Delaware,16288,235668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,District of Columbia,16131,173889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Florida,189692,3687026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Georgia,36055,1597467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Hawaii,32021,303287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Idaho,27058,437431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Illinois,346754,4749721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Indiana,111639,2242033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Iowa,115633,1317661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Kansas,68231,979795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Kentucky,31127,1294627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Louisiana,26345,1548591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Maine,53327,523011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Maryland,119537,1540496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Massachusetts,382539,2524298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Michigan,275223,3909725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Minnesota,174990,2051953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Mississippi,12036,892620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,John B. Anderson,Missouri,77920,2099824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
