year,state,total_votes
2016,Kentucky,1924149
2016,Louisiana,2029032
2016,Maine,747927
2016,Maine's 1st congressional district,394329
2016,Maine's 2nd congressional district,353416
2016,Maryland,2781446
2016,Massachusetts,3325046
2016,Michigan,4799284
2016,Minnesota,2944813
2016,Mississippi,1209357
2016,Missouri,2808605
2016,Montana,497147
2016,Nebraska,844227
2016,Nebraska's 1st congressional district,282338
2016,Nebraska's 2nd congressional district,291680
2016,Nebraska's 3rd congressional district,270109
2016,Nevada,1125385
2016,New Hampshire,744296
2016,New Jersey,3874046
2016,New Mexico,798319
2016,New York,7721453
2016,North Carolina,4741564
2016,North Dakota,344360
2016,Ohio,5496487
2016,Oklahoma,1452992
2016,Oregon,2001336
2016,Pennsylvania,6165478
2016,Rhode Island,464144
2016,South Carolina,2103027
2016,South Dakota,370093
2016,Tennessee,2508027
2016,Texas,8969226
2016,Utah,1131430
2016,Vermont,315067
2016,Virginia,3984631
2016,Washington,3317019
2016,West Virginia,714423
2016,Wisconsin,2976150
2016,Wyoming,255849
2020,Alabama,2323282
2020,Alaska,359530
2020,Arizona,3387326
2020,Arkansas,1219069
2020,California,17501380
2020,Colorado,3256980
2020,Connecticut,1823857
2020,Delaware,504346
2020,District of Columbia,344356
2020,Florida,11067456
2020,Georgia,4999960
2020,Hawaii,574469
2020,Idaho,867934
2020,Illinois,6033744
2020,Indiana,3033210
2020,Iowa,1690871
2020,Kansas,1373986
2020,Kentucky,2136768
2020,Louisiana,2148062
2020,Maine,819461
2020,Maine's 1st congressional district,443112
2020,Maine's 2nd congressional district,376349
2020,Maryland,3037030
2020,Massachusetts,3631402
2020,Michigan,5539302
2020,Minnesota,3277171
2020,Mississippi,1313759
2020,Missouri,3025962
2020,Montana,603674
2020,Nebraska,956383
2020,Nebraska's 1st congressional district,321886
2020,Nebraska's 2nd congressional district,339666
2020,Nebraska's 3rd congressional district,294831
2020,Nevada,1405376
2020,New Hampshire,806205
2020,New Jersey,4549457
2020,New Mexico,923965
2020,New York,8616861
2020,North Carolina,5524804
2020,North Dakota,362024
2020,Ohio,5922202
2020,Oklahoma,1560699
2020,Oregon,2374321
2020,Pennsylvania,6936976
2020,Rhode Island,517757
2020,South Carolina,2513329
2020,South Dakota,422609
2020,Tennessee,3053851
2020,Texas,11315056
2020,Utah,1488289
2020,Vermont,367428
2020,Virginia,4460524
2020,Washington,4087631
2020,West Virginia,794731
2020,Wisconsin,3298041
2020,Wyoming,276765
