state,seat_name,incumbent_party,incumbent_running,incumbent_elections_won,candidate_party,candidate_fullname,candidate_firstname,candidate_lastname,dem_statewide_elected,rep_statewide_elected,fec_candidate_id
Arizona,Class I,IND,IND,1,DEM,Ruben Gallego,Ruben Gallego,Jones,FALSE,FALSE,
Arizona,Class I,IND,IND,1,REP,Kari Lake,Kari,Lake,FALSE,FALSE,
Arizona,Class I,IND,IND,1,IND,Kyrsten Sinema,Kyrsten,Sinema,FALSE,FALSE,
California,Class I,DEM,None,1,DEM,TBD,,,FALSE,FALSE,
California,Class I,DEM,None,1,REP,TBD,,,FALSE,FALSE,
Connecticut,Class I,DEM,DEM,2,DEM,Chris Murphy,Chris,Murphy,TRUE,FALSE,
Connecticut,Class I,DEM,DEM,2,REP,Robert Hyde,Robert,Hyde-Smith,TRUE,FALSE,
Delaware,Class I,DEM,None,4,DEM,Lisa Blunt Rochester,Lisa,Blunt Rochester,TRUE,FALSE,
Delaware,Class I,DEM,None,4,REP,Eric Hansen,Eric,Hansen,TRUE,FALSE,
Florida,Class I,REP,REP,1,DEM,TBD,,,FALSE,TRUE,
Florida,Class I,REP,REP,1,REP,Rick Scott,Rick,Scott,FALSE,TRUE,
Hawaii,Class I,DEM,DEM,2,DEM,Mazie Hirono,Mazie,Hirono,TRUE,FALSE,
Hawaii,Class I,DEM,DEM,2,REP,TBD,,,TRUE,FALSE,
Indiana,Class I,REP,REP,1,DEM,TBD,,,FALSE,TRUE,
Indiana,Class I,REP,REP,1,REP,Mike Braun,Mike,Braun,FALSE,TRUE,
Maine,Class I,IND,IND,2,DEM,TBD,,,FALSE,FALSE,
Maine,Class I,IND,IND,2,IND,TBD,,,FALSE,FALSE,
Maryland,Class I,DEM,None,3,DEM,David Trone,David,Trone,FALSE,FALSE,
Maryland,Class I,DEM,None,3,REP,TBD,,,FALSE,FALSE,
Massachusetts,Class I,DEM,DEM,2,DEM,Elizabeth Warren,Elizabeth,Warren,TRUE,FALSE,
Massachusetts,Class I,DEM,DEM,2,REP,Robert Antonellis,Robert,Antonellis,TRUE,FALSE,
Michigan,Class I,DEM,None,4,DEM,Elissa Slotkin,Elissa,Slotkin,FALSE,FALSE,
Michigan,Class I,DEM,None,4,REP,TBD,,,FALSE,FALSE,
Minnesota,Class I,DEM,DEM,3,DEM,Amy Klobuchar,Amy,Klobuchar,TRUE,FALSE,
Minnesota,Class I,DEM,DEM,3,REP,TBD,,,TRUE,FALSE,
Mississippi,Class I,REP,REP,3,DEM,Ty Pinkins,Ty,Pinkins,FALSE,TRUE,
Mississippi,Class I,REP,REP,3,REP,Roger Wicker,Roger,Wicker,FALSE,TRUE,
Missouri,Class I,REP,REP,1,DEM,Lucas Kunce,Lucas,Kunce,FALSE,TRUE,
Missouri,Class I,REP,REP,1,REP,Josh Hawley,Josh,Hawley,FALSE,TRUE,
Montana,Class I,DEM,DEM,3,DEM,Jon Tester,Jon,Tester,TRUE,FALSE,
Montana,Class I,DEM,DEM,3,REP,Brad Johnson,Brad,Johnson,TRUE,FALSE,
Nebraska,Class I,REP,REP,2,DEM,TBD,,,FALSE,TRUE,
Nebraska,Class I,REP,REP,2,REP,Deb Fischer,Deb,Fischer,FALSE,TRUE,
Nevada,Class I,DEM,DEM,1,DEM,Jacky Rosen,Jacky,Rosen,TRUE,FALSE,
Nevada,Class I,DEM,DEM,1,REP,TBD,,,TRUE,FALSE,
New Jersey,Class I,DEM,None,3,DEM,TBD,,,FALSE,FALSE,
New Jersey,Class I,DEM,None,1,REP,TBD,,,FALSE,FALSE,
New Mexico,Class I,DEM,DEM,2,DEM,Martin Heinrich,Martin,Heinrich,TRUE,FALSE,
New Mexico,Class I,DEM,DEM,2,REP,TBD,,,TRUE,FALSE,
New York,Class I,DEM,DEM,3,DEM,Kirsten Gillibrand,Kirsten,Gillibrand,TRUE,FALSE,
New York,Class I,DEM,DEM,3,REP,TBD,,,TRUE,FALSE,
North Dakota,Class I,DEM,DEM,1,DEM,Katrina Christiansen,Katrina,Christiansen,FALSE,TRUE,
North Dakota,Class I,DEM,DEM,1,REP,Kevin Cramer,Kevin,Cramer,FALSE,TRUE,
Ohio,Class I,DEM,DEM,2,DEM,Sherrod Brown,Sherrod,Brown,TRUE,FALSE,
Ohio,Class I,DEM,DEM,2,REP,TBD,,,TRUE,FALSE,
Pennsylvania,Class I,DEM,DEM,3,DEM,Bob Casey,Bob,Casey,TRUE,FALSE,
Pennsylvania,Class I,DEM,DEM,3,REP,David McCormick,David,McCormick,TRUE,FALSE,
Rhode Island,Class I,DEM,None,3,DEM,Sheldon Whitehouse,Sheldon,Whitehouse,TRUE,FALSE,
Rhode Island,Class I,DEM,REP,3,REP,TBD,,,TRUE,FALSE,
Tennessee,Class I,REP,REP,1,DEM,TBD,,,FALSE,TRUE,
Tennessee,Class I,REP,REP,1,REP,Marsha Blackburn,Marsha,Blackburn,FALSE,TRUE,
Texas,Class I,REP,REP,2,DEM,Colin Allred,Colin,Allred,FALSE,TRUE,
Texas,Class I,REP,REP,2,REP,Ted Cruz,Ted,Cruz,FALSE,TRUE,
Utah,Class I,REP,None,1,DEM,TBD,,,FALSE,FALSE,
Utah,Class I,REP,None,1,REP,TBD,,,FALSE,FALSE,
Vermont,Class I,IND,IND,3,DEM,Jon Svitavsky,Jon,Svitasky,FALSE,FALSE,
Vermont,Class I,IND,IND,3,REP,TBD,,,FALSE,FALSE,
Vermont,Class I,IND,IND,3,IND,Bernie Sanders,Bernie,Sanders,FALSE,FALSE,
Virginia,Class I,DEM,DEM,2,DEM,Tim Kaine,Tim,Kaine,TRUE,FALSE,
Virginia,Class I,DEM,DEM,2,REP,TBD,,,TRUE,FALSE,
Washington,Class I,DEM,DEM,4,DEM,Maria Cantwell,Maria,Cantwell,TRUE,FALSE,
Washington,Class I,DEM,DEM,4,REP,Raul Garcia,Raul,Garcia,TRUE,FALSE,
West Virginia,Class I,DEM,DEM,3,DEM,Joe Manchin,Joe,Manchin,TRUE,TRUE,
West Virginia,Class I,DEM,DEM,3,REP,Jim Justice,Jim,Justice,TRUE,TRUE,
Wisconsin,Class I,DEM,DEM,2,DEM,Tammy Baldwin,Tammy,Baldwin,TRUE,FALSE,
Wisconsin,Class I,DEM,DEM,2,REP,TBD,,,TRUE,FALSE,
Wyoming,Class I,REP,REP,3,DEM,TBD,,,FALSE,TRUE,
Wyoming,Class I,REP,REP,3,REP,John Barrasso,John,Barrasso,FALSE,TRUE,
Nebraska,Class II,REP,REP,0,DEM,TBD,,,FALSE,TRUE,
Nebraska,Class II,REP,REP,0,REP,Pete Ricketts,Pete,Ricketts,FALSE,TRUE,
