NAME,abbreviation,land_area,pct_religious,,,,
Maine's 1st congressional district,ME-01,3286.5,0.319568629,,,,
Maine's 2nd congressional district,ME-02,27558.2,0.257925443,,,,
Nebraska's 1st congressional district,NE-01,8878.8,0.466318786,,,,
Nebraska's 2nd congressional district,NE-02,506.9,0.484551478,,,,
Nebraska's 3rd congressional district,NE-03,67431.9,0.526027371,,,,
